adm2_pcode,adm2_name,adm3_pcode,adm3_name,center_lat,center_lon,area_sqkm
TG0406,Haho,TG040607,Notse,6.926579,1.05355835,560.26376764
TG0405,Est-Mono,TG040507,Nyamassila,7.9645215,1.20081982,140.46322381
TG0518,Naki-Ouest,TG051805,Ogaro,10.7739815,0.47819253,116.78989693
TG0409,Ogou,TG040907,Ogou,7.6274035,1.26142424,248.58167434
TG0402,Wawa,TG040207,Okou,7.5675905,0.84132725,125.30312074
TG0401,Amou,TG040110,Okpahoe,7.6196775,1.01006244,15.17900617
TG0206,Keran,TG020607,Ossacre,10.068803,0.74346444,270.62620699
TG0401,Amou,TG040111,Otadi,7.720024,0.93864852,347.17736351
TG0401,Amou,TG040112,Ouma-Amlame,7.460545,0.91994578,109.41960507
TG0402,Wawa,TG040208,Ounabe,7.558954,0.94560234,70.56120823
TG0409,Ogou,TG040908,Ountivou,7.4182145,1.55545581,444.35822378
TG0101,Blitta,TG010112,Pagala Gare,8.178033,0.99438571,184.09882581
TG0101,Blitta,TG010113,Pagala Village,8.186239,0.88832992,94.22241754
TG0203,Binah,TG020305,Pagouda,9.758779,1.33448568,132.57974435
TG0411,Anie,TG041106,Pallakoko,7.874308,1.11580057,139.15033139
TG0516,Tone,TG051613,Pana,10.765686,0.2747161,105.75682376
TG0203,Binah,TG020306,Pessare,9.807075,1.23120414,66.568406
TG0206,Keran,TG020608,Pesside,10.075481,0.85507938,311.09619853
TG0203,Binah,TG020307,Pitikita,9.766478,1.2693552,19.2039814
TG0515,Tandjoare,TG051512,Pligou,10.6819795,0.265867,29.628518
TG0518,Naki-Ouest,TG051806,Pogno,10.962097,0.56638646,93.34669235
TG0516,Tone,TG051614,Poissongui,11.042244,0.20939968,33.59192507
TG0205,Doufelgou,TG020511,Pouda,9.9046845,1.26039708,41.13421857
TG0207,Kozah,TG020710,Pya,9.6496375,1.11910725,54.42732222
TG0514,Oti,TG051407,Sadori,10.248039,0.43698388,156.16488614
TG0303,Golfe,TG030304,Sagbado,6.1897115,1.1261315,56.87149953
TG0519,Oti-Sud,TG051906,Sagbiebou,10.2453485,0.64175279,395.79347515
TG0102,Plaine du Mo,TG010204,Saiboude,8.5680975,0.56789297,76.1509257
TG0408,Moyen-Mono,TG040804,Saligbe,7.2424235,1.5824921,78.02533296
TG0517,Cinkasse,TG051707,Sam-Naba,11.0545145,0.14258934,53.56694743
TG0202,Bassar,TG020209,Sanda-Afohou,9.476961,0.94465354,197.15201865
TG0202,Bassar,TG020210,Sanda-Kagbanda,9.4909625,0.89275503,271.75138587
TG0516,Tone,TG051615,Sanfatoute,11.0149615,0.3116688,41.90709246
TG0515,Tandjoare,TG051513,Sangou,10.5914895,0.06242753,8.86056447
TG0207,Kozah,TG020711,Sarakawa,9.616324,1.01117294,87.90679517
TG0307,Yoto,TG030707,Sedome,6.7761895,1.58426845,37.95510589
TG0410,Akebou,TG041006,Seregbene,7.8709585,0.71439312,169.28518936
TG0103,Sotouboua,TG010307,Sessaro,8.5966,1.20114707,135.20138409
TG0306,Vo,TG030607,Sevagan,6.31843,1.42207867,63.68895772
TG0205,Doufelgou,TG020512,Siou,9.851111,1.20031418,134.27945312
TG0203,Binah,TG020308,Sirka,9.542028,1.30838274,63.28803867
TG0515,Tandjoare,TG051514,Sissiak,10.746446,0.10914865,54.09855855
TG0401,Amou,TG040113,Sodo,7.328194,0.82648517,33.46323742
