region_nom_bdd,prefecture_nom_bdd,canton_nom_bdd,nb_agences,nb_agents_mobile_money,lon,lat,sans_agence_operateur,rang_desserte_mm,zone_prioritaire,dist_km_agence_plus_proche,dist_km_agent_mm_plus_proche,population_totale,population_masculin,population_feminin,population_method,adm2_name_hdx,adm3_name_hdx,adm3_pcode_hdx,area_sqkm_hdx,densite_pop_par_km2,agences_pour_10k_hab,agents_mm_pour_10k_hab
Kara,Kozah,Tchitchao,0.0,9,1.1425568518518519,9.625699444444443,True,112.0,False,9.78,0.32,7427,3909,3518,exact,Kozah,Tchitchao,TG020714,60.56175245,122.6,0.0,12.12
Kara,Kozah,Yadè,0.0,16,1.1586765562600128,9.594837170394417,True,194.0,False,5.92,0.37,4301,2019,2282,exact,Kozah,Yade,TG020715,19.57570428,219.7,0.0,37.2
Kara,Kéran,Akpontè,0.0,6,0.9218811055233925,10.216630340887537,True,71.0,True,23.04,1.9,8877,4372,4505,exact,Keran,Akponte,TG020601,215.70366868,41.2,0.0,6.76
Kara,Kéran,Ataloté,0.0,8,0.9235433333333334,9.937496249999999,True,99.0,False,13.99,2.29,17429,8636,8793,exact,Keran,Atalote,TG020602,287.75125566,60.6,0.0,4.59
Kara,Kéran,Hélota,0.0,13,0.7553983963962979,9.936553860412431,True,170.0,False,32.05,1.98,16034,7771,8263,exact,Keran,Helota,TG020603,201.44932607,79.6,0.0,8.11
Kara,Kéran,Kantè,2.0,77,1.048572751613467,9.954552472696914,False,331.0,False,0.52,0.23,,,,non_disponible,,,,,,,
Kara,Kéran,Nadoba,0.0,9,1.082130835701112,10.136209525143,True,112.0,False,20.01,0.22,19878,9785,10093,exact,Keran,Nadoba,TG020606,200.61413622,99.1,0.0,4.53
Kara,Kéran,Ossacré,0.0,17,0.7464130672112443,10.05649062852014,True,200.0,False,30.61,1.2,19842,9747,10095,exact,Keran,Ossacre,TG020607,270.62620699,73.3,0.0,8.57
Kara,Kéran,Pessidè,0.0,8,0.9300572193464828,10.027672374802435,True,99.0,False,15.12,4.26,9256,4614,4642,exact,Keran,Pesside,TG020608,311.09619853,29.8,0.0,8.64
Kara,Kéran,Warengo,0.0,1,1.123915,10.103315,True,1.0,True,17.99,0.0,6315,3219,3096,exact,Keran,Warengo,TG020609,68.27792034,92.5,0.0,1.58
Maritime,Agoè-Nyivé,Adétikopé,1.0,297,1.2197690413298372,6.321837571017467,False,361.0,False,0.55,0.05,,,,non_disponible,,,,,,,
Maritime,Agoè-Nyivé,Agoè-Nyivé,7.0,446,1.1881339701660054,6.233893640772538,False,363.0,False,0.95,0.59,,,,non_disponible,,,,,,,
Maritime,Agoè-Nyivé,Légbassito,1.0,37,1.148871878885854,6.26294113334586,False,292.0,False,0.81,0.45,,,,non_disponible,,,,,,,
Maritime,Agoè-Nyivé,Sanguera,2.0,97,1.1332063251053992,6.233183110543639,False,338.0,False,1.76,0.08,,,,non_disponible,,,,,,,
Maritime,Agoè-Nyivé,Togblekope,1.0,258,1.2139741922288798,6.265100932675944,False,356.0,False,1.06,0.09,,,,non_disponible,,,,,,,
