prefecture_pdf,canton_pdf,masculin,feminin,population_totale,adm2_name,adm3_name,adm3_pcode,center_lat,center_lon,area_sqkm,method
Blitta,PAGALA-GARE,11669,11443,23112,Blitta,Pagala Gare,TG010112,8.178033,0.99438571,184.09882581,fuzzy
Blitta,DOUFOULI,1309,1296,2605,Blitta,Doufouli,TG010107,8.3049165,0.90768357,144.82694129,exact_pref
Blitta,AGBANDI,5989,6133,12122,Blitta,Agbandi,TG010101,8.2485245,1.15118722,241.46550143,exact_pref
Blitta,LANGABOU,8329,8461,16790,Blitta,Langabou,TG010110,8.1394155,1.16451933,225.58189205,exact_pref
Blitta,KOFFITI,5057,5237,10294,Blitta,Koffiti,TG010109,8.020972,1.14081409,182.82961489,exact_pref
Blitta,TCHARE-BAOU,3717,3592,7309,Blitta,Tchare-Baou,TG010115,8.048226,1.0435529,167.29570238,exact_pref
Blitta,M'POTI,3610,3361,6971,Blitta,M'Poti,TG010111,8.3045665,0.80184987,264.64134095,exact_pref
Blitta,TCHIFAMA,2852,2722,5574,Blitta,Tchifama,TG010116,8.1765545,0.81582476,66.08988293,exact_pref
Blitta,PAGALA-VILLAGE,1800,1754,3554,Blitta,Pagala Village,TG010113,8.186239,0.88832992,94.22241754,fuzzy
Blitta,WELLY,5086,5084,10170,Blitta,Welly,TG010119,8.0535255,0.91580719,294.06409083,exact_pref
Blitta,TINTCHRO,1987,2054,4041,Blitta,Tintchro,TG010117,8.0450105,0.77147694,285.94939215,exact_pref
Blitta,ATCHINTSE,2365,2207,4572,Blitta,Atchintse,TG010102,7.9794325,0.66583934,176.96687904,exact_pref
Blitta,DIGUENGUE,786,737,1523,Blitta,Diguengue,TG010105,8.0641155,0.63998792,97.867113,exact_pref
Blitta,DIKPELEOU,1011,1075,2086,Blitta,Dikpeleou,TG010106,8.183186,0.61447923,27.19956181,exact_pref
Blitta,YEGUE,1763,1709,3472,Blitta,Yegue,TG010121,8.1621405,0.70692491,166.51759461,exact_pref
Blitta,KATCHENKE,1608,1647,3255,Blitta,Katchenke,TG010108,8.253238,0.69626505,115.38520462,exact_pref
Sotouboua,SOTOUBOUA,18336,18807,37143,Sotouboua,Sotouboua,TG010308,8.5575155,0.87444211,579.98169108,exact_pref
Sotouboua,KANIAMBOUA,1070,1120,2190,Sotouboua,Kaniamboua,TG010305,8.604154,1.00262794,31.93987984,exact_pref
Sotouboua,TABINDE,3802,3772,7574,Sotouboua,Tabinde,TG010309,8.5193585,1.13122986,192.42895753,exact_pref
Sotouboua,ADJENGRE,10553,11174,21727,Sotouboua,Adjengere,TG010301,8.688721,0.94175424,292.11041561,fuzzy
Sotouboua,SESSARO,6214,6012,12226,Sotouboua,Sessaro,TG010307,8.5966,1.20114707,135.20138409,exact_pref
Sotouboua,TITIGBE,3532,3598,7130,Sotouboua,Titigbe,TG010311,8.5970955,1.09396735,135.50177375,exact_pref
Sotouboua,KERIADE,1847,1677,3524,,,,,,,unmatched
Sotouboua,FAZAO,1161,1128,2289,Sotouboua,Fazao,TG010304,8.7494845,0.78892313,308.47450577,exact_pref
Sotouboua,AOUDA,8654,8637,17291,Sotouboua,Aouda,TG010302,8.8622735,0.85838223,785.11560193,exact_pref
Sotouboua,TCHEBEBE,8101,8104,16205,Sotouboua,Tchebebe,TG010310,8.4313135,0.83496763,425.34907119,exact_pref
Sotouboua,BODJONDE,1070,1148,2218,Sotouboua,Bodjonde,TG010303,8.442927,1.03279313,57.49714644,exact_pref
Sotouboua,KAZABOUA,4800,4547,9347,Sotouboua,Kazaboua,TG010306,8.420729,1.14280383,202.56353899,exact_pref
